path,name,label
D:\pytorch\dataloader\data\10113_frog.png,frog,6
D:\pytorch\dataloader\data\10114_horse.png,horse,7
D:\pytorch\dataloader\data\10115_airplane.png,airplane,0
D:\pytorch\dataloader\data\10116_deer.png,deer,4
D:\pytorch\dataloader\data\10117_frog.png,frog,6
D:\pytorch\dataloader\data\10118_truck.png,truck,9
D:\pytorch\dataloader\data\10119_dog.png,dog,5
D:\pytorch\dataloader\data\1011_ship.png,ship,8
D:\pytorch\dataloader\data\10120_ship.png,ship,8
D:\pytorch\dataloader\data\10121_horse.png,horse,7
D:\pytorch\dataloader\data\10122_automobile.png,automobile,1
D:\pytorch\dataloader\data\10123_truck.png,truck,9
D:\pytorch\dataloader\data\10124_airplane.png,airplane,0
D:\pytorch\dataloader\data\10125_cat.png,cat,3
D:\pytorch\dataloader\data\10126_cat.png,cat,3
D:\pytorch\dataloader\data\10127_horse.png,horse,7
D:\pytorch\dataloader\data\10128_frog.png,frog,6
D:\pytorch\dataloader\data\10129_truck.png,truck,9
D:\pytorch\dataloader\data\1012_airplane.png,airplane,0
D:\pytorch\dataloader\data\1012_frog.png,frog,6
D:\pytorch\dataloader\data\10130_airplane.png,airplane,0
D:\pytorch\dataloader\data\10131_deer.png,deer,4
D:\pytorch\dataloader\data\10132_horse.png,horse,7
D:\pytorch\dataloader\data\10133_automobile.png,automobile,1
D:\pytorch\dataloader\data\10134_deer.png,deer,4
D:\pytorch\dataloader\data\10135_cat.png,cat,3
D:\pytorch\dataloader\data\10136_deer.png,deer,4
D:\pytorch\dataloader\data\10137_cat.png,cat,3
D:\pytorch\dataloader\data\10138_truck.png,truck,9
D:\pytorch\dataloader\data\10139_ship.png,ship,8
D:\pytorch\dataloader\data\1013_automobile.png,automobile,1
D:\pytorch\dataloader\data\1013_frog.png,frog,6
D:\pytorch\dataloader\data\10140_horse.png,horse,7
D:\pytorch\dataloader\data\10141_airplane.png,airplane,0
D:\pytorch\dataloader\data\10142_ship.png,ship,8
D:\pytorch\dataloader\data\10143_cat.png,cat,3
D:\pytorch\dataloader\data\10144_truck.png,truck,9
D:\pytorch\dataloader\data\10145_automobile.png,automobile,1
D:\pytorch\dataloader\data\10146_airplane.png,airplane,0
D:\pytorch\dataloader\data\10147_ship.png,ship,8
D:\pytorch\dataloader\data\10148_airplane.png,airplane,0
D:\pytorch\dataloader\data\10149_truck.png,truck,9
D:\pytorch\dataloader\data\1014_cat.png,cat,3
D:\pytorch\dataloader\data\1014_ship.png,ship,8
D:\pytorch\dataloader\data\10150_deer.png,deer,4
D:\pytorch\dataloader\data\10151_airplane.png,airplane,0
D:\pytorch\dataloader\data\10152_bird.png,bird,2
D:\pytorch\dataloader\data\10153_automobile.png,automobile,1
D:\pytorch\dataloader\data\10154_deer.png,deer,4
D:\pytorch\dataloader\data\10155_bird.png,bird,2
D:\pytorch\dataloader\data\10156_horse.png,horse,7
D:\pytorch\dataloader\data\10157_automobile.png,automobile,1
D:\pytorch\dataloader\data\10158_horse.png,horse,7
D:\pytorch\dataloader\data\10159_airplane.png,airplane,0
D:\pytorch\dataloader\data\1015_deer.png,deer,4
D:\pytorch\dataloader\data\1015_dog.png,dog,5
D:\pytorch\dataloader\data\10160_bird.png,bird,2
D:\pytorch\dataloader\data\10161_truck.png,truck,9
D:\pytorch\dataloader\data\10162_horse.png,horse,7
D:\pytorch\dataloader\data\10163_truck.png,truck,9
D:\pytorch\dataloader\data\10164_ship.png,ship,8
D:\pytorch\dataloader\data\10165_frog.png,frog,6
D:\pytorch\dataloader\data\10166_deer.png,deer,4
D:\pytorch\dataloader\data\10167_deer.png,deer,4
D:\pytorch\dataloader\data\10168_automobile.png,automobile,1
D:\pytorch\dataloader\data\10169_automobile.png,automobile,1
D:\pytorch\dataloader\data\1016_automobile.png,automobile,1
D:\pytorch\dataloader\data\1016_frog.png,frog,6
D:\pytorch\dataloader\data\10170_horse.png,horse,7
D:\pytorch\dataloader\data\10171_ship.png,ship,8
D:\pytorch\dataloader\data\10172_ship.png,ship,8
D:\pytorch\dataloader\data\10173_frog.png,frog,6
D:\pytorch\dataloader\data\10174_deer.png,deer,4
D:\pytorch\dataloader\data\10175_dog.png,dog,5
D:\pytorch\dataloader\data\10176_frog.png,frog,6
D:\pytorch\dataloader\data\10177_cat.png,cat,3
D:\pytorch\dataloader\data\10178_truck.png,truck,9
D:\pytorch\dataloader\data\10179_deer.png,deer,4
D:\pytorch\dataloader\data\1017_frog.png,frog,6
D:\pytorch\dataloader\data\10180_bird.png,bird,2
D:\pytorch\dataloader\data\10181_dog.png,dog,5
D:\pytorch\dataloader\data\10182_cat.png,cat,3
D:\pytorch\dataloader\data\10183_frog.png,frog,6
D:\pytorch\dataloader\data\10184_horse.png,horse,7
D:\pytorch\dataloader\data\10185_horse.png,horse,7
D:\pytorch\dataloader\data\10186_cat.png,cat,3
D:\pytorch\dataloader\data\10187_truck.png,truck,9
D:\pytorch\dataloader\data\10188_automobile.png,automobile,1
D:\pytorch\dataloader\data\10189_cat.png,cat,3
D:\pytorch\dataloader\data\1018_airplane.png,airplane,0
D:\pytorch\dataloader\data\1018_deer.png,deer,4
D:\pytorch\dataloader\data\10190_automobile.png,automobile,1
D:\pytorch\dataloader\data\10191_ship.png,ship,8
D:\pytorch\dataloader\data\10192_cat.png,cat,3
D:\pytorch\dataloader\data\10193_cat.png,cat,3
D:\pytorch\dataloader\data\10194_dog.png,dog,5
D:\pytorch\dataloader\data\10195_frog.png,frog,6
D:\pytorch\dataloader\data\10196_deer.png,deer,4
D:\pytorch\dataloader\data\10197_airplane.png,airplane,0
D:\pytorch\dataloader\data\10198_truck.png,truck,9
D:\pytorch\dataloader\data\10199_frog.png,frog,6
D:\pytorch\dataloader\data\1019_dog.png,dog,5
D:\pytorch\dataloader\data\1019_horse.png,horse,7
D:\pytorch\dataloader\data\101_cat.png,cat,3
D:\pytorch\dataloader\data\101_dog.png,dog,5
D:\pytorch\dataloader\data\10200_frog.png,frog,6
D:\pytorch\dataloader\data\10201_dog.png,dog,5
D:\pytorch\dataloader\data\10202_airplane.png,airplane,0
D:\pytorch\dataloader\data\10203_frog.png,frog,6
D:\pytorch\dataloader\data\10204_bird.png,bird,2
D:\pytorch\dataloader\data\10205_airplane.png,airplane,0
D:\pytorch\dataloader\data\10206_dog.png,dog,5
D:\pytorch\dataloader\data\10207_deer.png,deer,4
D:\pytorch\dataloader\data\10208_truck.png,truck,9
D:\pytorch\dataloader\data\10209_cat.png,cat,3
D:\pytorch\dataloader\data\1020_automobile.png,automobile,1
D:\pytorch\dataloader\data\10210_deer.png,deer,4
D:\pytorch\dataloader\data\10211_frog.png,frog,6
D:\pytorch\dataloader\data\10212_airplane.png,airplane,0
D:\pytorch\dataloader\data\10213_frog.png,frog,6
D:\pytorch\dataloader\data\10214_horse.png,horse,7
D:\pytorch\dataloader\data\10215_airplane.png,airplane,0
D:\pytorch\dataloader\data\10216_horse.png,horse,7
D:\pytorch\dataloader\data\10217_bird.png,bird,2
D:\pytorch\dataloader\data\10218_frog.png,frog,6
D:\pytorch\dataloader\data\10219_truck.png,truck,9
D:\pytorch\dataloader\data\1021_automobile.png,automobile,1
D:\pytorch\dataloader\data\10220_frog.png,frog,6
D:\pytorch\dataloader\data\10221_dog.png,dog,5
D:\pytorch\dataloader\data\10222_deer.png,deer,4
D:\pytorch\dataloader\data\10223_dog.png,dog,5
D:\pytorch\dataloader\data\10224_deer.png,deer,4
D:\pytorch\dataloader\data\10225_horse.png,horse,7
D:\pytorch\dataloader\data\10226_horse.png,horse,7
D:\pytorch\dataloader\data\10227_frog.png,frog,6
D:\pytorch\dataloader\data\10228_ship.png,ship,8
D:\pytorch\dataloader\data\10229_automobile.png,automobile,1
D:\pytorch\dataloader\data\1022_airplane.png,airplane,0
D:\pytorch\dataloader\data\1022_deer.png,deer,4
D:\pytorch\dataloader\data\10230_dog.png,dog,5
D:\pytorch\dataloader\data\10231_truck.png,truck,9
D:\pytorch\dataloader\data\10232_horse.png,horse,7
D:\pytorch\dataloader\data\10233_ship.png,ship,8
D:\pytorch\dataloader\data\10234_ship.png,ship,8
D:\pytorch\dataloader\data\10235_horse.png,horse,7
D:\pytorch\dataloader\data\10236_automobile.png,automobile,1
D:\pytorch\dataloader\data\10237_deer.png,deer,4
D:\pytorch\dataloader\data\10238_frog.png,frog,6
D:\pytorch\dataloader\data\10239_deer.png,deer,4
D:\pytorch\dataloader\data\1023_airplane.png,airplane,0
D:\pytorch\dataloader\data\1023_frog.png,frog,6
D:\pytorch\dataloader\data\10240_bird.png,bird,2
D:\pytorch\dataloader\data\10241_bird.png,bird,2
D:\pytorch\dataloader\data\10242_dog.png,dog,5
D:\pytorch\dataloader\data\10243_airplane.png,airplane,0
D:\pytorch\dataloader\data\10244_cat.png,cat,3
D:\pytorch\dataloader\data\10245_ship.png,ship,8
D:\pytorch\dataloader\data\10246_truck.png,truck,9
D:\pytorch\dataloader\data\10247_deer.png,deer,4
D:\pytorch\dataloader\data\10248_automobile.png,automobile,1
D:\pytorch\dataloader\data\10249_automobile.png,automobile,1
D:\pytorch\dataloader\data\1024_bird.png,bird,2
D:\pytorch\dataloader\data\1024_cat.png,cat,3
D:\pytorch\dataloader\data\10250_deer.png,deer,4
D:\pytorch\dataloader\data\10251_automobile.png,automobile,1
D:\pytorch\dataloader\data\10252_truck.png,truck,9
D:\pytorch\dataloader\data\10253_frog.png,frog,6
D:\pytorch\dataloader\data\10254_cat.png,cat,3
D:\pytorch\dataloader\data\10255_cat.png,cat,3
D:\pytorch\dataloader\data\10256_frog.png,frog,6
D:\pytorch\dataloader\data\10257_truck.png,truck,9
D:\pytorch\dataloader\data\10258_dog.png,dog,5
D:\pytorch\dataloader\data\10259_horse.png,horse,7
D:\pytorch\dataloader\data\1025_cat.png,cat,3
D:\pytorch\dataloader\data\1025_dog.png,dog,5
D:\pytorch\dataloader\data\10260_frog.png,frog,6
D:\pytorch\dataloader\data\10261_truck.png,truck,9
D:\pytorch\dataloader\data\10262_deer.png,deer,4
D:\pytorch\dataloader\data\10263_bird.png,bird,2
D:\pytorch\dataloader\data\10264_deer.png,deer,4
D:\pytorch\dataloader\data\10265_airplane.png,airplane,0
D:\pytorch\dataloader\data\10266_airplane.png,airplane,0
D:\pytorch\dataloader\data\10267_airplane.png,airplane,0
D:\pytorch\dataloader\data\10268_ship.png,ship,8
D:\pytorch\dataloader\data\10269_horse.png,horse,7
D:\pytorch\dataloader\data\1026_airplane.png,airplane,0
D:\pytorch\dataloader\data\1026_truck.png,truck,9
D:\pytorch\dataloader\data\10270_dog.png,dog,5
D:\pytorch\dataloader\data\10271_automobile.png,automobile,1
D:\pytorch\dataloader\data\10272_ship.png,ship,8
D:\pytorch\dataloader\data\10273_frog.png,frog,6
D:\pytorch\dataloader\data\10274_horse.png,horse,7
D:\pytorch\dataloader\data\10275_airplane.png,airplane,0
D:\pytorch\dataloader\data\10276_automobile.png,automobile,1
D:\pytorch\dataloader\data\10277_horse.png,horse,7
D:\pytorch\dataloader\data\10278_horse.png,horse,7
D:\pytorch\dataloader\data\10279_ship.png,ship,8
D:\pytorch\dataloader\data\1027_airplane.png,airplane,0
D:\pytorch\dataloader\data\1027_frog.png,frog,6
D:\pytorch\dataloader\data\10280_bird.png,bird,2
D:\pytorch\dataloader\data\10281_horse.png,horse,7
D:\pytorch\dataloader\data\10282_deer.png,deer,4
D:\pytorch\dataloader\data\10283_ship.png,ship,8
D:\pytorch\dataloader\data\10284_ship.png,ship,8
D:\pytorch\dataloader\data\10285_truck.png,truck,9
D:\pytorch\dataloader\data\10286_ship.png,ship,8
D:\pytorch\dataloader\data\10287_truck.png,truck,9
D:\pytorch\dataloader\data\10288_ship.png,ship,8
D:\pytorch\dataloader\data\10289_bird.png,bird,2
D:\pytorch\dataloader\data\1028_frog.png,frog,6
D:\pytorch\dataloader\data\1028_truck.png,truck,9
D:\pytorch\dataloader\data\10290_ship.png,ship,8
D:\pytorch\dataloader\data\10291_truck.png,truck,9
D:\pytorch\dataloader\data\10292_automobile.png,automobile,1
D:\pytorch\dataloader\data\10293_cat.png,cat,3
D:\pytorch\dataloader\data\10294_dog.png,dog,5
D:\pytorch\dataloader\data\10295_horse.png,horse,7
D:\pytorch\dataloader\data\10296_deer.png,deer,4
D:\pytorch\dataloader\data\10297_airplane.png,airplane,0
D:\pytorch\dataloader\data\10298_automobile.png,automobile,1
D:\pytorch\dataloader\data\10299_deer.png,deer,4
D:\pytorch\dataloader\data\1029_automobile.png,automobile,1
D:\pytorch\dataloader\data\1029_frog.png,frog,6
D:\pytorch\dataloader\data\102_frog.png,frog,6
D:\pytorch\dataloader\data\102_truck.png,truck,9
D:\pytorch\dataloader\data\10300_deer.png,deer,4
D:\pytorch\dataloader\data\10301_airplane.png,airplane,0
D:\pytorch\dataloader\data\10302_ship.png,ship,8
D:\pytorch\dataloader\data\10303_deer.png,deer,4
D:\pytorch\dataloader\data\10304_cat.png,cat,3
D:\pytorch\dataloader\data\10305_horse.png,horse,7
D:\pytorch\dataloader\data\10306_truck.png,truck,9
D:\pytorch\dataloader\data\10307_horse.png,horse,7
D:\pytorch\dataloader\data\10308_horse.png,horse,7
D:\pytorch\dataloader\data\10309_truck.png,truck,9
D:\pytorch\dataloader\data\1030_cat.png,cat,3
D:\pytorch\dataloader\data\10310_cat.png,cat,3
D:\pytorch\dataloader\data\10311_frog.png,frog,6
D:\pytorch\dataloader\data\10312_truck.png,truck,9
D:\pytorch\dataloader\data\10313_ship.png,ship,8
D:\pytorch\dataloader\data\10314_automobile.png,automobile,1
D:\pytorch\dataloader\data\10315_dog.png,dog,5
D:\pytorch\dataloader\data\10316_truck.png,truck,9
D:\pytorch\dataloader\data\10317_ship.png,ship,8
D:\pytorch\dataloader\data\10318_dog.png,dog,5
D:\pytorch\dataloader\data\10319_dog.png,dog,5
D:\pytorch\dataloader\data\1031_cat.png,cat,3
D:\pytorch\dataloader\data\1031_frog.png,frog,6
D:\pytorch\dataloader\data\10320_cat.png,cat,3
D:\pytorch\dataloader\data\10321_cat.png,cat,3
D:\pytorch\dataloader\data\10322_cat.png,cat,3
D:\pytorch\dataloader\data\10323_airplane.png,airplane,0
D:\pytorch\dataloader\data\10324_dog.png,dog,5
D:\pytorch\dataloader\data\10325_automobile.png,automobile,1
D:\pytorch\dataloader\data\10326_airplane.png,airplane,0
D:\pytorch\dataloader\data\10327_frog.png,frog,6
D:\pytorch\dataloader\data\10328_horse.png,horse,7
D:\pytorch\dataloader\data\10329_cat.png,cat,3
D:\pytorch\dataloader\data\1032_frog.png,frog,6
D:\pytorch\dataloader\data\1032_ship.png,ship,8
D:\pytorch\dataloader\data\10330_airplane.png,airplane,0
D:\pytorch\dataloader\data\10331_truck.png,truck,9
D:\pytorch\dataloader\data\10332_airplane.png,airplane,0
D:\pytorch\dataloader\data\10333_horse.png,horse,7
D:\pytorch\dataloader\data\10334_airplane.png,airplane,0
D:\pytorch\dataloader\data\10335_deer.png,deer,4
D:\pytorch\dataloader\data\10336_ship.png,ship,8
D:\pytorch\dataloader\data\10337_ship.png,ship,8
D:\pytorch\dataloader\data\10338_airplane.png,airplane,0
D:\pytorch\dataloader\data\10339_horse.png,horse,7
D:\pytorch\dataloader\data\1033_cat.png,cat,3
D:\pytorch\dataloader\data\1033_dog.png,dog,5
D:\pytorch\dataloader\data\10340_airplane.png,airplane,0
D:\pytorch\dataloader\data\10341_cat.png,cat,3
D:\pytorch\dataloader\data\10342_truck.png,truck,9
D:\pytorch\dataloader\data\10343_airplane.png,airplane,0
D:\pytorch\dataloader\data\10344_ship.png,ship,8
D:\pytorch\dataloader\data\10345_frog.png,frog,6
D:\pytorch\dataloader\data\10346_ship.png,ship,8
D:\pytorch\dataloader\data\10347_horse.png,horse,7
D:\pytorch\dataloader\data\10348_horse.png,horse,7
D:\pytorch\dataloader\data\10349_frog.png,frog,6
D:\pytorch\dataloader\data\1034_frog.png,frog,6
D:\pytorch\dataloader\data\1034_truck.png,truck,9
D:\pytorch\dataloader\data\10350_deer.png,deer,4
D:\pytorch\dataloader\data\10351_truck.png,truck,9
D:\pytorch\dataloader\data\10352_automobile.png,automobile,1
D:\pytorch\dataloader\data\10353_airplane.png,airplane,0
D:\pytorch\dataloader\data\10354_ship.png,ship,8
D:\pytorch\dataloader\data\10355_airplane.png,airplane,0
D:\pytorch\dataloader\data\10356_frog.png,frog,6
D:\pytorch\dataloader\data\10357_frog.png,frog,6
D:\pytorch\dataloader\data\10358_horse.png,horse,7
D:\pytorch\dataloader\data\10359_automobile.png,automobile,1
D:\pytorch\dataloader\data\1035_frog.png,frog,6
D:\pytorch\dataloader\data\10360_bird.png,bird,2
D:\pytorch\dataloader\data\10361_ship.png,ship,8
D:\pytorch\dataloader\data\10362_automobile.png,automobile,1
D:\pytorch\dataloader\data\10363_automobile.png,automobile,1
D:\pytorch\dataloader\data\10364_frog.png,frog,6
D:\pytorch\dataloader\data\10365_airplane.png,airplane,0
D:\pytorch\dataloader\data\10366_dog.png,dog,5
D:\pytorch\dataloader\data\10367_deer.png,deer,4
D:\pytorch\dataloader\data\10368_horse.png,horse,7
D:\pytorch\dataloader\data\10369_ship.png,ship,8
D:\pytorch\dataloader\data\1036_airplane.png,airplane,0
D:\pytorch\dataloader\data\1036_ship.png,ship,8
D:\pytorch\dataloader\data\10370_automobile.png,automobile,1
D:\pytorch\dataloader\data\10371_horse.png,horse,7
D:\pytorch\dataloader\data\10372_deer.png,deer,4
D:\pytorch\dataloader\data\10373_truck.png,truck,9
D:\pytorch\dataloader\data\10374_frog.png,frog,6
D:\pytorch\dataloader\data\10375_truck.png,truck,9
D:\pytorch\dataloader\data\10376_ship.png,ship,8
D:\pytorch\dataloader\data\10377_automobile.png,automobile,1
D:\pytorch\dataloader\data\10378_bird.png,bird,2
D:\pytorch\dataloader\data\10379_frog.png,frog,6
D:\pytorch\dataloader\data\1037_automobile.png,automobile,1
D:\pytorch\dataloader\data\1037_horse.png,horse,7
D:\pytorch\dataloader\data\10380_automobile.png,automobile,1
D:\pytorch\dataloader\data\10381_ship.png,ship,8
D:\pytorch\dataloader\data\10382_dog.png,dog,5
D:\pytorch\dataloader\data\10383_cat.png,cat,3
D:\pytorch\dataloader\data\10384_horse.png,horse,7
D:\pytorch\dataloader\data\10385_deer.png,deer,4
D:\pytorch\dataloader\data\10386_horse.png,horse,7
D:\pytorch\dataloader\data\10387_automobile.png,automobile,1
D:\pytorch\dataloader\data\10388_truck.png,truck,9
D:\pytorch\dataloader\data\10389_bird.png,bird,2
D:\pytorch\dataloader\data\1038_bird.png,bird,2
D:\pytorch\dataloader\data\1038_frog.png,frog,6
D:\pytorch\dataloader\data\10390_truck.png,truck,9
D:\pytorch\dataloader\data\10391_bird.png,bird,2
D:\pytorch\dataloader\data\10392_deer.png,deer,4
D:\pytorch\dataloader\data\10393_automobile.png,automobile,1
D:\pytorch\dataloader\data\10394_airplane.png,airplane,0
D:\pytorch\dataloader\data\10395_ship.png,ship,8
D:\pytorch\dataloader\data\10396_bird.png,bird,2
D:\pytorch\dataloader\data\10397_dog.png,dog,5
D:\pytorch\dataloader\data\10398_bird.png,bird,2
D:\pytorch\dataloader\data\10399_airplane.png,airplane,0
D:\pytorch\dataloader\data\1039_airplane.png,airplane,0
D:\pytorch\dataloader\data\1039_bird.png,bird,2
D:\pytorch\dataloader\data\103_cat.png,cat,3
D:\pytorch\dataloader\data\103_frog.png,frog,6
D:\pytorch\dataloader\data\10400_frog.png,frog,6
D:\pytorch\dataloader\data\10401_airplane.png,airplane,0
D:\pytorch\dataloader\data\10402_ship.png,ship,8
D:\pytorch\dataloader\data\10403_automobile.png,automobile,1
D:\pytorch\dataloader\data\10404_deer.png,deer,4
D:\pytorch\dataloader\data\10405_truck.png,truck,9
D:\pytorch\dataloader\data\10406_bird.png,bird,2
D:\pytorch\dataloader\data\10407_dog.png,dog,5
D:\pytorch\dataloader\data\10408_ship.png,ship,8
